외국어연수평가원,중국어듣는사람,0,"['나 저번 여름에 들음!', '빡쎄지만 수료 못한 사람은 없다고 들음!', '같이 들었던 친구한테 ㅋㅋ']"
중드 재밌는거 추천해줄사람!!,"중국어 들으면서 연습할 겸 하는데
유치하지 않으면서 재밌는거 추천 좀 해주라
영화도 좋아

치아문적단순미호 인가 좀 유치하긴 해도 귀엽게 봤어
장난스런 키스 영화는 너무 오글거리더라ㅠ",0,"['삼십이이!', '치아문난난적소시광/샹견니/삼생삼세십리도화', '옹정황제의 여인 존잼', '상견니!', '샹견니 미쳤다 왜케 재밌어ㅠㅠㅠ벌써 4화까지 봄', '다들 고마워~~일단 상견니 보는데 저장해놓고 하나씩 볼게']"
ㅁㅊ 중외통 기초중국어,언제 6학점 됨?????....아 미리 들어놓을 걸...,0,"['좋지 않아? 원래 6시간 4학점이었는데', '재수강맨 운다..........', '나도 재수강맨인데 들을거 없는데 2학점생기는거라 개꿀']"
일언문이랑 융일지 학우분들,"둘의 차이 설명해주시면 정말 감사하겠습니다...!
글캠에서 반수한 반수생인데 이번에 설캠 갈 점수가 나와서 두 학과중에 고민이에요 둘다 너무 가고싶거든요

융일지는 일본의 사회,문화,정치,경제에 초점을 두고 일본어도 같이 배우는 느낌이라면
일본언어문화는 언어 위주로 배우되 문화도 배운다 이거인가요?
둘다 학과 홈페이지 들어가서 전필,학과 소개 찾아봐도 뚜렷한 차이를 모르겠어요ㅠㅠ 설명해주시면 너무 감사하겠습니다

차라리 중국학대학은 중국외교통상/중언문이라서 뚜렷하게 구분되는 것 같은데 일본학대학은 잘 모르겠네요ㅠㅠ",0,"['문화나 예술이 좋다 언문', 'ㄴㄴㄴ문화는 융지 쪽이지', '일본 정치 경제 문화가 좋다 융일지', '딱 설명대로에용.', '우와 알려주셔서 너무 감사합니다!!! 참고할게요ㅎㅎ', '교수님 전공을 보기면 확실해요. 일언문은 일본어학문학 배우는 곳이고, 융지는 일본정치 경제 사회문화 배우는 곳입니다.', '오 그렇군요 교수님 전공을 볼 생각은 못했는데 그걸 확인해야겠네요 감사합니다! 융일지에 진학하게되면 일언문만큼은 아니더라도 학과 커리큘럼대로 공부하면 일본어에 능통하게 되나요...? 아니면 일본어는 거의 안배우고 정치경제정도+알파 느낌으로 일본어를 배우나요? 알려주셔서 감사합니다😁', '일언문 융일지 모두 저학년때 일본어습득은 빡세게 시킵니다. 고학년되면서 일언문은 어문학으로 융지는 지역학괴목을 수강하게 됩니다. 일본어는 어딜가도 원하는 만큼 공부할 수 있으니 본인이 이배우고자 하는게 일본어/문학 인지, 일본이라는 나라 인지를 생각해보시면 될 것같아요', '그렇군요 고민이 많았는데 이것저것 정성스럽게 말씀해주신 덕분에 고민이 해결되었어요 너무너무 감사합니다😊 편안한 밤 보내세요!!', '어딜가도 일본어는 기본입니다! 일언문은 일본아로 일본 고전~현대문학,예술,문화배우는거고 융일지는 일본어로 일본 사회,문화,정치,경제 배우는거예요', '일단 외대는 어느과이건 졸업하려면 전공어 능통해야됨,,,플렉스랑 졸시 개빡셈', '그렇군요!!! 갈피를 못잡았는데 덕분에 결심이 선 것 같아요 감사합니다☺️', '융지생인데 일본어는 기본 베이스고 정치 경제 사회 문화 역사 지리 다양하게 다 배워요! 그리고 문화에 관심이 많으신 거면 융지 쪽으로 오시는 게 좋구요 언어나 문학 깊게 파고 싶으시면 언문으로 가시는 게 좋아요', '그렇군요 알려주셔서 너무 감사해요!! 말씀해주신 것 바탕으로 결심이 섰어요ㅎㅎ 감사합니다 좋은 밤 보내세요☺️☺️', '네 학우님도 좋은 밤 보내세요💞', '오 그렇군요 추천 감사합니다ㅎㅎ 갈팡질팡했는데 마음이 기운 것 같아요 감사해요 좋은 밤 보내세요!!☺️', '언문인데 일본 문학에 관심 많으면 언문 추천해요~ 그리고 융지나 언문이나 일본어 빡쎈 건 똑같아요!', '그렇군요 의견 감사합니다ㅎㅎ 편안한 밤 보내세요!!', '일본어를 전문적으로 배움- 일언문, 일본을 전문적으로 배움-융지 !!']"
한자 외우는 꿀팁 있을까요ㅠㅠㅠ,"한자 너무 안외워져..... 으아아아강ㄱ!!!!!
중국어대 일본어대 학우님들 그저 존경....",0,"['약간 스토리로 외움 나는. 약간 예를들면 그 아름다울 희 외우면, 여자녀랑 옆에 뭔가 있자너? 그걸 약간 여자랑 금의환향한 관료랑 만나 아름답다 이런식? 그 머리에 선비사짜가 머리 모자 약간 이런식 ㅋㅋ몬소린지 모르겠음 아름다울희 짜 검색해서 내글봐바', '오.... 좋은 방법이다!!! 땡큐!', '네이버 한자사전에 검색하면 한자 유래 나오는데 도움많이 되요', '감사합니당~~', '나도 이거 와드 ㅠㅠㅠ', '왜 일대는 칭찬 안해줘', '일본어대도 존경합니당!!!! ㅠㅠㅠ 중국어 배우는 중이라 고멘,,,,,,', '쓰면서 외우는게 답이구낭ㅠㅠ 계속 쓰면서 외우는데 이게 외워지는게 맞나 싶어서🥺 댓글 고마워~~', '쓰면서 외우고 많이 접하고! 한자 생긴거 보고 뜻이랑 연결해서 외우는 것도 방법이예요', '감사합니당!! 시도해볼게요!']"
오승렬 교수님 수업 중국통상협상사례연구,"기말 보고서 낸 사람 있니..?ㅠㅠ
필수인거지..?",0,"['그거 언제까지에여?ㅠ', '내일 자정 전까지에여']"
중국,지들이 코로나 퍼트려놓고 검역강화하는거 왜 이렇게 꼴보기싫냐...,2,['진짜 방귀낀놈이 똥싸고자빠졋네 꼴도보기싫음']
강준영교수님 중국의정치문화,다들 잘 받음?,0,"['에제', '나 에플.. 레폿주제뭐함?', '님주제머하심?', '저 미중-한국대응이요', '부럽다 나도 에제', '에제ㅠㅠ 에쁠 주실 줄 알았는데', '오..긴가민가했는데 내가 쓴게 마음에 드셨나보다', '에이뿔이요..', '주제뭐하셨어요?', '저 4번 미중이요!']"
고려중국어 다니시는 분 계신가요???,혹시 망했나요...,0,['망했다네요...']
아랍플 타서 하는 말인데,"터키인 이란인 기타 중동에서 온 것 같이 보이는 사람한테 다짜고짜 아랍 블라블라 이러면 기분 나빠함

우리나라로 따지면 한중일몽 전부 중국인으로 퉁치는 거랑 같음... 민족 자체가 다름",4,"['그리고 앗쌀라말라이쿰도 봐가면서 해... 일부 국가는 안 써', '약간 해외 나가서 니하오 듣는거랑 비슷;ㅋㅋㅋㅋㅋㅋ', 'ㅆㅇㅈ.. 이란어과라 하면 너네 아랍어쓰지 않냐? 이런다']"
미국인들 인터뷰하는거보고오셈,"대부분 한국어딨는지모름
중국 일본이랑 헷갈리는게아니라 아프리카쳐가르키고있음. 이거본뒤로
아랍이 나라다? 이런건 뭐 웃고넘김",1,"['그건 미국인들이 무식한거고...', '한국 북한의 차이점알면 대단한거더라', '걔넨 1% 의 나라임 1퍼센트 똑똑한 인구가 나머지 99퍼센트를 살림 근데 인구가 2억이라 1퍼센트가 존나많음ㅋㅋ', '와 이제보니 인구가 3억이네', '무식을 떠나서 애초에 미국인이 일본보다 한국을 접할 기회가 넘사벽으로 적어서 중국 일본은 어렴풋이 어디있는지 알아도 한국은 모르는 경우 많음']"
아랍사태.... 혹시 모르는 분들을 위해,"스칸디나비아는 나라 아니다
스웨덴 노르웨이 덴마크 등의 북유럽국가들을 통칭

인도어는 없다
그냥 힌디어 타밀어 벵갈어 등의 지역 언어가 있을 뿐

노어는 러시아어다
노르웨이어아니다

터키아제르바이젠?
터키말고 아제르바이'잔' 이라는 나라가 있다

마인어?
말레이시아('마'래서아) + 인도네시아('인'니) 에서 쓰는 언어
근데 말레이어랑 인니어랑은 조금 많이 다름...
영국 영어랑 미국 영어 차이보다 더 큼

태국은 영어로 타일랜드... 타이완이 아니다

가나 스펠링 Ghana
브라질 스펠링 Brazil (brasil은 포르투갈어)


미얀마 = 버마
이집트 = 애굽
그리스어 = 헬라어
산스크리트어 = 범어
캄보디아어 = 크메르어
호주 = 오스트레일리아 ... 오스트리아 아니다
LA = Los Angeles = 나성(에 가면 편지를 띄우세요~~🎵 그 노래의 나성 맞다)
비엔나(Vienna) = 빈(Wien) = 오스트리아 수도
Moscow = 모스크바
Warsaw = 바르샤바
Florence = 피렌체
Nice = 니스
Zurich = 취리히
Munich = 뮌헨
Prague = 프라하



미국 수도는 워싱턴DC (뉴욕 아니다)
캐나다 수도는 오타와 (토론토 밴쿠버 아니다)
호주 수도는 캔버라 (시드니 아니다)
터키 수도는 앙카라 (이스탄불 아니다)

미국은 50개 주로 이뤄져있다
그래서 United States
영국은 잉글랜드 아니다
연합왕국인데 잉글랜드+스코틀랜드+웨일스가
브리튼 제도를 이루고 있고
북아일랜드 속령까지 합해서
정식국명이
United Kingdom of Great Britain and Northern Ireland
그냥 줄여서 UK OK?

미국 워싱턴 주는 북서쪽 태평양과 붙어있는 주이고
시애틀이 여기 있다
스타벅스 마이크로소프트 아마존이 시애틀대도시권에 있는 회사이다

워싱턴DC는 주가 아니다!!
DC는 district of columbia 즉 컬럼비아 특구로
그냥 독립되어있는 행정구역일뿐 50개 주에 안 속함

푸에르토리코 괌 사이판 얘네들은 미국 해외영토

실리콘밸리는 샌프란시스코 새너제이 등의 IT기업들이 많이 모여 있는 Bay Area를 통칭

광둥어는 홍콩을 중심으로 한 중국 광동지방의 언어
표준중국어랑은 의사소통이 아예 불가능",128,"['인도어는 처음 알았음', '+뉴질랜드 수도는 웰링턴....오클랜드 아니다', '저런 거랑 별개긴 한데 홍콩 마카오 대만 중국이랑 다른 여권 씀', '‘중화권 국가’', '추가로 라틴어, 히브리어 다 민족이름이고 국가이름X', '캐나다 수도 오타와...', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ쓰니야... 반영좀 해줘', '아... 죄송... 합니다... ㅠㅠ', '여기서 흠칫...ㅋㅋㅋㅋ', '+인도랑 인도네시아 다르다', '스위스 (사실상)수도는 베른이다 취리히 아니다', '+모로코 수도는 라바트다 카사블랑카 아니다', '무슨 문제집에 별첨된 핵심정리같네 ㅋㅋㅋㅋㅋ', '아 ㄹㅇㅋㅋㅋㅋㅋㅋㅋㅋ 중고딩때 보던 문제집 느낌', '그렇구나 하면서 보다가 타이완에서 개뿜음ㅋㅋㅋㅋㅋㅋㅋㅋ', '아니 타이완 타일랜드 모르는 외대생이 설마있을까 진짴ㅋㅋㅋㅋㅋㅋ 워싱턴도 그렇고 설마설마 제발', '잇겟지.. 저번에 영국도 한 번 섬이냐 대륙이냐로 난리였자낰ㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌㅋㅋ', '영국 섬나라지?', '헐 진짜???? 그런걸ㄹ 난리였어??', '세계지리했음?', '세계지리랑 상관 없음ㅋㅋㅋㅋㅋ내가 세지만 졸라 팠는데 저건 그냥 상식이지', '나도 세지했음 근데 세지 문화파트 공부하다 보면 저런 상식이 자연스럽게 쌓이지 않아? 난 세지 공부하면서 상식 쌓은 케이스라', '세지 안 해도 상식덕후거나 책 좀 읽으면 알지', '근데 더치 커피할 때 더치가 그 더치임?', '이런걸 모른다고..?', '솔직히 몰랐던거 몇개 보이는데', '아진짜?', '세계사 관심 없으면 모를 수도 있는거지ㅋㅋ', '나성은 몰랐다 ....', '근데 왜 나성임?', '그냥 음차아니야? 이태리같이', '중국인들이 LA城 -> 나성', '영어를 한자로 음차해서 표기한 게 그렇게 되는 걸로 알고 있음.', 'ㅇㅎㅇㅎ 땡큐', '스칸디나비아가 나라 아닌걸 누가 몰라 유로트럭시뮬레이터2 하면 바로 아는걸', '이집트는 출애굽기 덕분에 아는듯', '창세기 출애굽기 레위기~ (무교임)', '+스위스는 대통령을 장관 7명이 1년씩 돌아가면서 한다', '장관이 임기는 있긴 함?', '+서어는 스페인어다', '스페인어 줄임말은 스어가 아니라 서어다 프랑스어도 프어가 아니라 불어다<-많이 봐서', '스페인->서반아/스페인어->서반아어 그런 고로 서어라고 하는 거임', '아마쟈 이거 모르는 사람 많더랑', '+ 러시아를 음차 표기하면 아라사라고 하는데 이건 만주어로 러시아를 가리키는 말인 오로스에서 비롯된 거고, 우리가 러시아어를 노어라고 표기라는 것은 영어 표기의 러시아를 그대로 음차하여 노서아/로서아라고 하는 데에서 기원하는 것임', 'UK OK 라임 뭔데', '+아프리카어라는 것도 없다', '아프리칸스랑 아프리카어(익31 말마따나 있지도 않은 아프리카어) 헷갈리기 없긔', ""아프리카 대륙에서 사용되는 언어가 무려 2000개가 넘는데 그 언어들이 모두 '아프리카어'라는 하나의 단어로 묶여서 불리는게 진짜 마음 아파.."", '유익하넹', '외몽골 내몽골 이거 헷갈리는사람들도 많어', '+LA는 라틴아메리카의 준말이기도 함', '나이팅게일 이름도 플로렌스인뎅 ㅎㅎ 피렌체에서 태어나서', '확실히 외대라서 이런글 많은거 진짜 유익하다', '초딩 때 위인전에서 읽은 기억 난다ㅋㅋㅋ 나두 그 생각하면서 글 읽었엉', '따봉❤️', '+스페인수도는 마드리드다 바르셀로나가 아니다', '아랍어라고 다 같은 아랍어가 아니다 아라비아 반도와 그근처 아랍어와 마그레브 및 기타 북아프리카 아랍어는 존나 땅판이다. 우리가 흔히 배우는 현대 표준 아랍어는 쿠란에서나 쓰는 아랍어다.', '현대표준아랍어는 표준어로서의 아랍어고 사실 코란아랍어가 진짜 코란에서 쓰는 아랍어다. 마그레브쪽 아랍어는 아마직의 고유 언어와 융합되어 아예 새로운 아랍어다.', '현대표준아랍어가 걸프지역에서 쓰이는아랍어고 쿠란 아랍어는 고전아랍어라고 따로있을텐데?', '익 47 57 알려줘서 고마웡!', '호주의 수도는 캔버라다', '대만어는 대만의 국어가 아니다. 대만어는 민남어 방언의 일파이고 주로 대만 남부에서 일상어로 쓰이긴 하지만 엄밀히 말해서 국어는 아니다. 대만에서 말하는 국어는 표준 중국어로 중국 대륙에서 보통화라고 말하는 그것과 약간의 차이점만 있을 뿐 그리 다르지 않다. 참고로 대만에서 말하는 국어와 중국 대륙에서 말하는 보통화의 차이는 남북한의 한국어 차이보다도 덜한데 이는 대부분의 교류가 아예 금지된 한반도와 달리 중화권의 TV 방송 등의 교류가 활발했기 때문이다.', '브라질 수도 상파울루아니다 브라질리아다', '우리가 흔히 아는 이태리 나폴리는 영어 발음으로 네이플스(Naples)다. 독일 뮌헨이라고 발음하면 영미권 아무도 못알아먹는다. 뮈닉(Munich)이라고 발음해야한다.', 'Fucking = 푸킹', '부루마블이 이걸 다 망쳐놨네..', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '아 이댓글 위에 있어야 하는뎈ㅋㅋㅋㅋㅋㅋㅋㅋ개웃겨', '정말 유익하긴 한데 이건 상식이지 않아?', '외대맞냐? 가슴이 웅장해진다..', '유익한 글에 굳이', 'ㄹㅇ 아싸화법', '이분 상식 무엇👏🏻👏🏻 생각보다 모르는 사람 많다ㅎㅎㅎ저도 몰랐던거 몇개 발견', '+ 우리나라는 국제공인 기름나오는 산유국이다. 기름한방울 안나는 나라라는 우스갯소리는 명백한 선동임', '진짜 ㄱㅅㄱㅅ 필요한 것만 쏙쏙', '네덜란드=화란', '그리스어=헬라어 그리고 희랍어?도되지❔', 'ㅇㅇ']"
중국사회문화이해 김송희 교수님,기사 스크랩 한번에 1개씩인가요??,0,"['혹시 내셨나요?? 한 개만 하면 되나요??', '저는 그냥 하나씩 했어요 필기해둔거 보니까 매일이라고 안해서', '앗 그렇군요!! 감사합니다~~']"
100수생 글 읽고 놀라서 작성해요.,"3줄 요약
1. 언어인식/분석 인공지능은 빠르게 발전중이고 기술자체는 우리가 생각한것보다 앞써있다.
2. 어떤 인공지능이던지 명령하는 것은 사람이다. 사람없이는 이루어지지 않는다.
3. 인공지능이 대체할 수 있는 부분은 생각보다 수동적이다. 인공지능을 능동적 행동하도록 명령하는 방법을 우리는 외대에서 배워가야한다.

언어계열 졸업생입니다. 개인적으로 빡공해서 언어데이터연구소쪽에서 일하고 있습니다.

가끔 구경오다가 오늘 처음 24살 전문가..(ㅋㅋ) 글을 어제 처음 볼 수 있었어요.
관련해서 24살인지는 모르겠지만 언어데이터 분야에서 꽤 젊은 분이 있으십니다.
일전에 관련 세미나 발표에서 그분도 비슷한 말을 하시기는 했습니다.

""
번역기가 통번역의 많은 부분을 대체할 것이다. 텍스트화 되어 있는 내용을 다른 언어로 번역하는 기술은 정확도가 지속적으로 올리가는 중이고, 특히 언어인식 부분은 우리가 생각하는 속도보다 빠르게 진화하고, 억양과 음조, 대화의 흐름과 분위기등을 분석하려 하는 기술이 상용화되는 것을 목표로 하고 있다.
""

확실히 지금 기술로 일본어 아무것도 모르는 사람이 일본을 여행가도 휴대폰 하나면 어느정도 여행을 함에 있어서 큰 무리가 없다는 것은 부정하기 어렵습니다. 인공지능이라는게 악마같은 부분이 해당 지역의 정보를 사람보다 더 많이 알 수도 있다는 점이기도 합니다. 사람들에게 길을 이리저리 물어서 가는 것보다 구글에 ""후쿠오카 맛집 검색해줘"" 혹은 ""지금 내 위치에서 가볼만한 곳 추천해줘"" 한 마디면 더 잘 찾아주는 것을 부정할 수도 없습니다.

일단 이 내용을 잘 기억해두세요.

실제로 세미나에서 발표하신 내용입니다. 100수생분이 말씀하신 언어인식기술 인공지능(?)은 분명 발전 중이고 지금 속도라면 10년 후를 예측하는 것은 어렵습니다.

근데 왜 하필 10년후일까요? 자연어처리(컴퓨터가 사람들의 언어를 이해하게함)는 가트너 하이프(기술 발전그래프) 기준으로 개발이 완료된 기술입니다. 즉 NLP 상용화가 시작되었고 부정적 버그나 오류적인 부분을 다 잡는 침체기가 끝나면, 음성인식(음성으로 문자를 입력함) 수준으로 발전된 기술이 됩니다.

그럼 계산을 해볼 시간입니다. 그냥 음성인식이 폭팔적으로 관심을 가지게 된 시기는 1970년대입니다. 약 1000개 단어정도를 쓸 수 있었다고 들었던 기억이 나네요. 1980년대 들어서야 어휘와 문맥등을 이해하고 발전되기 시작합니다. 점점 긴 단위의 문장을 인식하지만, 결국 2000년대부터 20년간 정체기를 맞이합니다. 그리고 정체기를 깨고 여러기술이 융합되어 나온 것이 지금의 시리/빅스비 입니다.

다만, 그 기술들은 쉽게 풀어서 대화형 인공지능이 아닌 명령형 인공지공입니다. 빅스비와 여러분들은 대화? 할 수 있나요 방금 위의 내용처럼, 무언가 바로 해주지는 않고, 제가 명령을 해야 동작을 수행하지 않나요? 이해를 못하면 다른 명령 해달라고 하지 않으신가요... 요기까지가 기본적인 언어인식을 바탕으로 한 상용화된 좋은 사례입니다.

자 그럼 이제 100수생이 말한 통번역을 바탕으로한 기본적인 대화가 가능한 인공지능의 상용화를 제가 감히 예측해보자면 10년이 맞습니다. 문제는 내년도 10년일 것이고 2022년에도 10년이라고 말할꺼예요. 아마 재작년에도 10년후라고 말합니다. 이게 한국식 물부족국가같은거예요.

분명 기술은 좋습니다. 휴대폰과 대화를 하고, 내가 한 말을 다른 언어로 번역하는 기술은 지금도 다 있습니다. 조금만 구글에 검색해보셔도 엄청 많습니다. 챗봇같은 친구들이 대표적인 대화형 인공지능 기술이죠. 올해 2020년에 공개된 구글 AI 챗봇 ""Meena"" 같은것들이 대표적입니다.
실제로 ""Meena""를 보시면 정말 대화를 하는 것 같습니다.

자 즉, 현재 기술을 상용화 하는 것에는 늘 10년이라는 기간이 붙습니다. 물론 그 10년이 20년이 되거나 5년이 되는 것은 예측을 할 수는 없죠. 빨라지는 경향이 있지만, 그거 예측할 줄 알면 제가 이런 연구소에 썩어있지는 않겠죠...
그럼 그렇게 통번역기술이 발달하면 외대는 망할 수도 있다? 저는 전혀아니라고 생각합니다.

그럼 그 젊은 분의 마지막 말입니다

""
여러분들! 결국 기술은 발전했지만 컨텐츠는 누가 만드는나요? 우리의 기술은 아직은 수동적입니다. 그것을 능동적으로 명령하는 것은 사람입니다. 이제 우리는 기술에게 좋은 능동적인 명령을 하는 사람을 선호할 것입니다.
""

100수생 분에게 물어보고 싶어요. 번역? 통역? 기술이 대체할 수 있죠. 외대를 오고 싶어한다면, 고작 물건살때 흥정이나 하자고 외대오신거면 학원가셔도 됩니다.

말씀하신 것처럼, 서류로 작성하는 거래라면 어쩌면 파파고가 더 잘 수행할 수도 있죠. 하지만 서류는 누가 작성해줍니까? 그 서류의 내용은 누가 만들어주고, 그 서류의 들어가 있는 그 지역의 컨텐츠와 문화는 누가 가장 적절하게 만들어줍니까? 인공지능이 만들어 줄 수 있다고 해도, 우리는 그 내용을 바탕으로 수정하고 첨가해 새로운, 상대방이 더 좋아할 만한 내용으로 바꿀 것입니다.

확실히 여행가이드나 서적번역 등의 분야는 분명 큰 위기가 올 수도 있습니다. (인공지능으로 교육할 수 있는 부분의 임계점은 있지만, 제 생각에 서적같은 분야는 분명 뛰어넘을 수 있다고 생각합니다.) 하지만 어떤 인공지능도 대체 할 수 없는 건 언어와 공존하는 문화컨텐츠입니다. 한국외대가 여러분들에게 언어뿐만이 아니라 지역학, 경제학, 사회학등을 알려주는건 그 나라에서 일하게 되거나, 그 나라와 관련된 일을 하게 될 때 완벽한 대화를 보다는 이해가 더 중요하다는 사실을 알고 있기 때문입니다. 번역? 그건 이제 파파고가 해주면 되니깐요. 하지만 파파고가 중국에게 보낼 문서의 돈봉투를 빨간색으로 바꿔주지는 않습니다. 그리고 우리가 의사소통이나 하자고 외대 선택한 건 아니잖아요.

저희는 언어전문가?가 아니여도 컨텐츠는 만들 수 있고, 오히려 완벽한 번역기술보다는 컨텐츠를 잘 만드는 사람을 더 선호하는 경향이 강해질 수도 있죠. 번역기가 완벽해져도, 말 재미있게 해서 관람객들을 즐겁게 해주는 여행가이드는 살아 남을 수도 있잖아요.

여러분들! 제가 감히 어리고 저보다 더 연륜있으신 분들도 많지만, 한 마디 하자면 100수생 말 무조건 틀린말은 아닙니다. 번역기의 발달은 언어전문가의 가치를 떨어트릴 수 있습니다. 근데 전문가만이 컨텐츠를 만들 수 있는건 아니라고 전 생각하거든요. 여러분들도 외대에서 언어만 배우고 간다는 그런 생각보다는 그 나라를 배우고 간다는 생각으로 공부해주셨으면 좋겠습니다. 그게 100수생이 말한 언어로 먹고 살 길중 하나거든요.",34,"['오르비에 올리고 싶네요! 또 홍보라고 짤릴지는 모르겠지만', '급하게 작성한거라.. 나중에 정리해서 글을 다시 써줄께요.', '+통역의 경우 일상 분야에선 기계로 대체될 순 있지만 고위급 회담이나 수행통역 등 인간만이 할 수 있는 것들이 있음. 통번역 친구들 화이팅', '글 잘읽었습니다ㅎㅎ 기술발전으로 통번역 완성된다 치자. 그럼 그 기술은 누가 검증하나..결국 언어배운 사람이 할 수 있는거 아닌가? 기술발전 하나만 보고 나머지의 가치를 낮게보는거만큼 편협한게 어딨나 싶네요. 기술이 얼마나 발전하든..우리가 할 수 있는거 찾으면 됩니다. 어차피 우리만 할 수 있을테니까요. 언어만 원툴로만 쓰는 시대 아닌데다, 학벌을 떠나서 전공 하나만 믿고 사는 시대가 아닌걸요.. 이런 상황에서 우리가 할 수 있는걸 찾으면 됩니다. 다들 기죽지말자구요', '맞습니다. 제가 말을 잘 못하는데 정말 오랜만에 긴 글 써봤어요.. 논문이후로 처음 .....ㅠ 결국 언어 원툴의 시대가 아닌데 마치 외대에서는 언어만? 배우고 언어로만 취업한다는 이상한 이미지가 강한거 같아요. 생각보다 우리는 갈 곳이 많습니다.', '좋은글에 질문드려서 죄송하지만.. 언어데이터 연구소쪽에서 어떤 일을 담당하고 계신건가요? 막연히 자연어처리에 관심이 생겼는데 대학원도 진학해야하고 언어학과 공학 그 어딘가에서 어떻게 방향성을 잡아야할지 헤매고 있어 질문드립니다.!!', '언어데이터를 연구가능 상태로 바꾸는 작업을 하고 있습니다. 연구보조원 정도 입니다 !! 메인 연구직은 학사로는 어려워 보입니다..ㅠㅠ 저도 경력쌓으면 이직할 생각이구요', '정확히는 무작위의 언어를 데이터화 시키는 작업', '멋져요! 오르비 뿐만 아니라 수만휘에도 올리고 싶은 글이네요ㅠㅠ']"
ㅇㅎㄹ 교수님 중화경제권 중국통상법규,나왔어,0,"['보기 두려워서 안 보는 중 ^^..', '교수님 완전 칼이야 ㅎㅎ..', '중통법 잘 받으셨나요ㅠ?', '저 에제요..^^ㅋㅋ', '저는 발표도 했는데..레포트에서 깎였어요ㅋㅋㅋ', '중통법 에이쁠 ~@!', 'ㅠㅠ', '97.5요!', '에제 몇점이세여 ㅠㅠ..? 완전 칼이시네', '저 94요 껄껄', '와 저두요 ㅠ 95부터 쁠인가 ㅎㅎㅎ..', '그런것 같네요 ㅎㅎ', '중화경제권 잘 받으셨어요 ??', '중화경제권은 에쁠이에요!', '와 수고하셨어요 ~~', '와 칼같이 잘랐네ㅡㅡ', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 눈물납니당', '드랍했어야...']"
ㅇㅎㄹ 교수님 중화경제권 중국통상법규,나왔어,0,"['보기 두려워서 안 보는 중 ^^..', '교수님 완전 칼이야 ㅎㅎ..', '중통법 잘 받으셨나요ㅠ?', '저 에제요..^^ㅋㅋ', '저는 발표도 했는데..레포트에서 깎였어요ㅋㅋㅋ', '중통법 에이쁠 ~@!', 'ㅠㅠ', '97.5요!', '에제 몇점이세여 ㅠㅠ..? 완전 칼이시네', '저 94요 껄껄', '와 저두요 ㅠ 95부터 쁠인가 ㅎㅎㅎ..', '그런것 같네요 ㅎㅎ', '중화경제권 잘 받으셨어요 ??', '중화경제권은 에쁠이에요!', '와 수고하셨어요 ~~', '와 칼같이 잘랐네ㅡㅡ', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 눈물납니당', '드랍했어야...']"
중국정치지성사,강진석 교수님 수업 이번에 디쁠 맞으신 분 있나요? ㅜㅜ 메일을 드릴려고 하는데 어떻게 해야 될지 모르겠네요,0,['와 저 씨플나옴...세부점수 궁금한데 메일 쓰셨나요ㅠ']
